Text,Author,Likes
Who''s here because Steam sold it to them for $3 in December 2024?,@DavidDouglasJr,1139
I hate when I''m trying to further the goals of the Roman empire but my Legions keep speaking German.,@Z4gle,858
"Number 1 tip should be to go to settings and show yields on HUD ribbons. Knowledge is power, especially in this game.",@kassuhei,665
"I remember buying this game the day it came out. It was mostly negative in steam reviews and everything still played civ 5, but I still liked it because it was easy to learn. Now its so popular it''s crazy",@Kfo221,265
"Got this for $3 on the PS store and I thought clicking """"New to Civilization"""" in the beginning when it asked would give me tips and tell me stuff, but it literally tells you jack shit.",@sneakgamecrazy,133
"Anyone wanting him to talk slower, set the playback speed to .75",@skipgiblets,111
The title should be renamed to beginners guide to civ 6 for civ 5 players... too fast narration and difficult to keep up for completely new player like me,@prince_warhero,99
just bought on springsale.. thankyou for the guide,@Redribbon_iv,63
"I''m new to civilization games, this was a massive help, thanks.",@maxpayne044,61
your the first person ive actually had to slow a video down for to understand whats going on lol appreciate the guide,@LetsPlayBrick,56
Netflix gave this game to me for free. First time playing. Everyone else has modern cities while I''m still building huts and castles,@laughingman7882,52
Crazy to think Civ 6 is 8 years old.,@redluke8119,52
So basically you need a civilization 6 associates degree to play and understand what is happening.,@eagle25311,47
Have this game in library with all expansions. Have always wanted to play it but I gave up at min. 6 lol. That is way too much ui/learning. Thank you for an excellent vid anyway haha :),@Yxar,46
"I hate this type of guides: """"there is not a right or wrong action here, it depends on your goal"""". C''mon, the whole reason why I watch these videos is to get an understanding on the goal options, and some explanation about how that should influence the actions.",@kennethfm,23
Got this game for 4 bucks and did 10 hour on first sitting lmao,@bulldog6545,22
"Thanks… coming from Civ 5, that was terrifying.",@MrKKmusic,20
"I opened the game & stared at the screen, clicking on things for an hour. This is my first type of these games, & I don''t understand what''s happening, if anything actually is happening, or if I did anything. It''s like I don''t get any feedback, or I just don''t know where or understand what it is.   I don''t want to return it, because I wanted to try & get into 1 of these types of games I never play. Funny, getting mixed up in the corner in Street Fighter 6 does not make me feel this way, but that''s because I can access my tools right in front of my eyes in an instant. This game makes me feel like I wandered into a season of Lost without being an actual cast member.",@jadedbreadncircus9159,19
"Slow down mate, no one’s chasing you.",@chibi_undercover9663,19
At2:08why is the description for Legion in German?,@colerowland8066,18
"So far the best guide I''ve seen for the game. Straight to the point and answers everything I''m curious about, thanks a bunch.",@aishas4909,12
They finally fixed the issues on console so I''m ready to learn,@jonnyboy0127,11
