Text,Author,Likes
Limiting yourself to one tile for that SimCity(2013) experience.,@fredrickvonstien861,5163
I love the idea of taking a completed one tile city and expanding it by one tile each episode.  Make an entire map that is high density.,@Geeko170,3094
"Finally, a sillier and challenging episode. Don''t take me wrong, I love the long-term series with their realistic approach, but I find it most interesting when the real life professional takes a break and makes something more creative and light-hearted like this.",@Foreck,763
"You always say it is so """"dark"""" to put the elder care close to a grave yard. But it really makes sense and many elders prefer it that way. Couples going into care homes are extremely rare. most of the time, one dies first. the other is left alone and the loneliness contributes to the decline in health. So the elder care home next to the grave yard, where many of the patients have their deceased spouse is really sought after. Just my 2 cents.",@wolfim.3343,749
Phil''s giddy laughter throughout the chaos is perfection.,@Shanerz21,725
Dude has the most soothing voice and the most terrifying laugh.,@faz1015,608
"I love to see Phil doing more goofy content like this, it’s very refreshing.  Also, in another comment I saw someone say you should do a city with unlimited everything, so you can just let your creativity fly without worry. Once you’ve used up all your nodes on the one project (I forgot if it was nicolet or Clearwater lol) you should take into consideration doing the unlimited everything play through. Just to spice things up.",@adamj.russell5968,405
"Other creators are trying the challenge, too!  Drop a link to your video here and I''ll add it to the pinned comment!  Ozzie Mike Plays -https://youtu.be/qFhbXPTnOhEGaming with Rev -https://youtu.be/kwCn0wrdXsM",@CityPlannerPlays,306
You laugh like the grunt who pulls the lever to lower the protagonist into a vat of bubbling green goo while the antagonist explains his plans.,@BrentBowersWithTics,203
Seeing the city limits from every angle gives me SimCity 2013 vibes.,@fastica,194
I have never seen such an elegant looking city in a One Tile City Challenge!,@capedkat,152
Phil! Thank you so much for your content and the effort you put into these videos. Keep it going!,@Matthewy.,135
Phil building a one-tile city as a gimick in a one hour vid.  Proceeds to make it look better than all of my multi-year builds.,@toonieven,111
"Something Cities Skylines needs to do better, is highlight when you have issues, like not having hospital, police or whatever. In Simcity 2013 you would get a red ring around the icon.  Really hope they improve this in Cities Skylines 2.  The UI needs to communicate clearly with the player and nobody watches those bird tweet things.",@RMJ1984,102
Cemetery next to elder care. This level of efficiency is why we come here,@MrPorkerson,95
"CPP: Our power line is destroyed but it''s ok, we have a wind turbine.   Wind turbine:catches fire",@TheRealTaz89,79
"Funny enough, I just started playing on this map yesterday. In the first tile, I got up to 17,000 but it was entirely low density and a fairly boring grid. Traffic bounced between 75% and 81%.   I wonder what impact """"High Tech Housing"""" would have had for you. I know you don''t like to use it city wide, but for a challenge like this, it might have gotten the city over the 30k milestone.",@VaingloriousGaming,63
There’s something so pure about a 1 tile city. I cannot wait to watch you fire up CS2. I hope you have a live stream planned for the release.,@ethanguidry841,53
"This is a Super hard flex, well taken, and demonstrated by the master planer compared to the other one tiles I’ve seen",@albertgreene313,52
I''ve learnt so much from watching your videos and have implemented them in my own city. Thanks for the amazing videos.,@DG0011,36
Your laugh is so random and scaryno offense tho,@Hoxistedious,35
I’d love to see this city expand,@TheStorff86,34
Was hoping for a single-point urban interchange but your interchange did turn out lovely,@mosphaera,19
his laughter scared the shit out of me,@heavysaltt,17
"hi from Rockford, IL. I’ve been a fan since 2020–love this channel and now my step son has now gotten into your content as well. please build a city w everything unlocked immediately and infinite money. we know you know how to play the game right but we watch bc of your planning and creativity. i want to see the biggest, best city you can make w unlimited resources.",@JSEarhart,17
You sir are an amazing communicator. I could listen to you describe pretty much anything. And your enthusiasm is top notch.,@Tubalcain422,16
"If you think of countries with very limited space, like Monaco or Andorra, they use a lot of underground infrastructures. Maybe you could build some tunnels to improve the traffic flow (a solution used in Boston too, not just Europe). All in all, still an amazing video!",@carloangrisano,15
"I think it would be really cool for there to be one tile challenges in CS2, where we can choose the biome and it randomly generates a tile for us!",@rygarzayt,15
Your presentation skills - especially during the introduction where lots of simple graphics assist your explanations in keeping a steady flow - are amazing! Truly one of the GOATs of CS YouTubing,@Infrastructurist,14
